番号,問題,解答
1,あいぎゃう,かわいらしい
2,あいなし,"つまらない,わけもなく,気に食わない"
3,あえか(なり),きゃしゃだ
4,あかず,"ものたりない,嫌にならない"
5,あかなくに,名残惜しい
6,あからさま(なり),ついちょっと
7,あからめ,"わき見,浮気"
8,あかる,別れる
9,あきらむ,明らかにする
10,あく,"満ち足りる,嫌になる"
11,あくがる,"浮かれ出る,うわの空"
12,あげつらふ,議論する
13,あさまし,驚き呆れる
14,あさむ,驚く
15,あざる,ふざける
16,あし,"悪い,下手だ"
17,あした,朝
18,あそばす,～なさる
19,あそび,詩歌管弦
20,あだ(なり),"浮気なさま,無駄なさま,はかないさま"
21,あたらし,もったいない
22,あぢきなし,つまらない，どうしようもない，道理に合わない
23,あつし,危篤だ
24,あて(なり),"上品だ,身分が高い"
25,あない,取り次ぎ，事情
26,あながち(なり),"むやみだ,無理やりだ，度を越している"
27,あなかま,しっ、静かに
28,あなづらはし,"遠慮がいらない,馬鹿にしたくなる"
29,あなる,あるようだ(推定)，あるそうだ（伝聞）
30,あはれ(なり),しみじみとする，かわいい，ああ
31,あふ,結婚する，出会う，出くわす
32,あべかり,違いない
33,あへず,堪えられない
34,あへなし,"がっかりする,どうしようもない"
35,あへなむ,仕方がない
36,あまた,たくさん
37,あめり,あるらしい
38,あやし,"卑しい,粗末だ,不思議だ"
39,あやなし,"わけがわからない,つまらない"
40,あやにく(なり),意地悪だ
41,あらがふ,言い争う
42,あらたし,新しい
43,あらぬ,"意外だ,無関係の"
44,あらは(なり),丸見えだ
45,あらまし,計画
46,あらます,期待する
47,あらまほし,"理想的だ,ありたい"
48,あり,生きている
49,ありありて,"生きながらえて,とどのつまり"
50,ありがたし,"めずらしい,生きづらい"
51,ありく,"歩き回る,〜し続ける"
52,ありつる,さっきの
53,ありとある,すべての
54,ありもつかず,落ち着かない
55,あるじす,ごちそうする
56,あるじまうけ,ごちそう
57,あるは,ある者は
58,あるやうこそは,何かわけがあるのだろう
59,あれかにもあらず,ぼうっとしている
60,いう(なり),"上品だ,すばらしい"
61,いかが(は)せむ,"どうしようか,どうしようもない"
62,いかで,"どうして,なんとかして"
63,いかめし,"盛大である,おごそかだ"
64,いぎたなし,寝坊だ
65,いさ(や),"さぁ,どうかな"
66,いざたまへ,さぁいらっしゃい
67,いそぎ,準備
68,いたし,"あまりにひどい,素晴らしい"
69,いたづら(なり),"無駄だ,むなしい,死ぬ"
70,いたはし,"苦しい,気の毒だ,お世話したい"
71,いちのひと,"摂政•関白,太政大臣"
72,いつく,大事に育てる
73,いつしか(+願望表現),早く～したい
74,いづら,どこ
75,いでたつ,出発する
76,いと・いたく(う)(＋打消),あまり～ない
77,いとけなし,子供っぽい
78,いとど,いっそう
79,いとはし,嫌だ
80,いとふ,嫌う
81,いとほし,気の毒だ
82,いなぶ,断る
83,いはけなし,子供っぽい
84,いひけつ,悪く言う
85,いぶかし,"気がかり,知りたい"
86,いふかひなし,つまらない
87,いぶせし,憂鬱だ
88,いまいまし,不吉だ
89,います,いらっしゃる
90,いますがり,いらっしゃる
91,いまだし,まだ早い
92,いまめかし,現代風だ
93,いみじ,"はなはだしい,素晴らしい,ひどい"
94,いむ,嫌って避ける
95,いもぬ,寝る
96,いらふ・いらへ,返事をする
97,うきよ,つらくはかない世の中
98,うけたまはる,お受けする
99,うし,"つらい,気に食わない"
100,うしろみ,後見人
101,うしろめたし,心配だ
102,うしろやすし,安心だ
103,うす,死ぬ
104,うたて,"ますます,ひどい,情けない"
105,うたてあり,嫌だ
106,うたてし,"嫌だ,情けない"
107,うち,"宮中,天皇"
108,うちつけ(なり),突然である
109,うちとく,気を許す
110,うつくし,かわいい
111,うつたへに,ことさら
112,うつつ,現実
113,うつはもの,才能
114,うつろふ,"色あせる,心変わりする"
115,うとし,"よく知らない,親しくない"
116,うとまし,"嫌だ,気味が悪い"
117,うへ,天皇
118,う(む)まのはなむけ,送別会
119,うめく,苦吟する
120,うらなし,ざっくばらんだ
121,うるさし,"面倒だ,嫌味だ"
122,うるはし,整っている
123,うんず,"ふさぎこむ,嫌になる"
124,え(～ず),～できない
125,えさらず,避けられない
126,えならず,なんとも言えないほどよい
127,えん(なり),優美だ
128,おいらか(なり),おっとりしている
129,おきつ,"計画する,指図する"
130,おきな/おうな,"爺さん,婆さん"
131,おくる,"先立たれる,取り残される"
132,おこたる,病気が治る
133,おこなふ,仏道修行をする
134,おづ,怖がる
135,おと,"評判,便り"
136,おとど,大臣
137,おとなし,大人びている
138,おとなふ,訪れる
139,おとなぶ,一人前になる
140,おどろおどろし,"気味が悪い,おおげさだ"
141,おどろく,"はっとして気づく,目を覚ます"
142,おのづから,"ひょっとして,偶然,自然と"
143,おはします,いらっしゃる
144,おはす,いらっしゃる(サ変)
145,おぼえ,"(よい)評判,寵愛(を受けること)"
146,おほけなし,"恐れ多い,身分不相応だ"
147,おほす,おっしゃる
148,おぼす,お思いになる
149,おぼつかなし,"気がかりだ,はっきりしない,待ち遠しい"
150,おほとのごもる,お休みになる
151,おほやけ,朝廷
152,おぼゆ,"似ている,自然に思われる"
153,おぼろげ(なり),"格別だ,普通だ"
154,おもしろし,"趣がある,興味深い"
155,おもて,顔
156,おもて(を)おこす,名誉を回復する
157,おもて(を)ふす,面目を失わせる
158,およずく・およすぐ,大人になる
159,おろか(なり),"いいかげんだ,未熟だ"
160,おろす,出家する
161,かきくらす,心を暗くする
162,かぎり,"全部,限界,臨終"
163,かくる,死ぬ
164,かこつ,"他のせいにする,嘆く"
165,かごと,愚痴
166,かし,"～よ,～ね(念押しの終助詞)"
167,かしかまし,やかましい
168,かしこし,"非常に,恐れ多い"
169,かしづく,大切に養い育てる
170,かしまし,やかましい
171,かずならず,取るに足りない
172,かずまふ,一人前に扱う
173,かたくな(なり),"見苦しい,ものわかりが悪い"
174,かたし,"まれだ,難しい"
175,かたち,容貌
176,かたはらいたし,"苦々しい,気恥ずかしい"
177,かたへ,そば
178,かたほ(なり),不完全だ
179,かたみに,互いに
180,かち,徒歩
181,かつ,一方では〜し、一方では〜する
182,かづく,"水中に潜る,褒美としていただく"
183,かど,才能
184,かなし・かなしうす,かわいい
185,かまびすし,うるさい
186,かまふ,"作る,計画を立てる"
187,かまへて,必ず
188,からし,"つらい,危ない"
189,ーがり・ーのがり,の元へ
190,かりそめ(なり),"ちょっとだけだ,一時的だ"
191,かる,離れる
192,かんず,感動する
193,きこゆ,"申し上げる,わけがわかる,評判である"
194,きは,身分
195,きはやか(なり),目立っている
196,きゃうきゃう(なり),軽率だ
197,きよし・きよら(なり),美しい
198,ぐす,連れていく(サ変)
199,くすし,不思議だ
200,くたす,"腐らせる,けなす"
201,くちをし,"残念だ,もの足りない"
202,くつ,腐る
203,くまなし,"抜け目がない,かげりがない"
204,くもゐ,皇居
205,くんず,ふさぎこむ
206,けいす/そうす,申し上げる
207,けう(なり),珍しい
208,けうとし,うとましい
209,けうら(なり),美しいさま
210,けさう,恋い慕うこと
211,けし,異様だ
212,けしうはあらず,悪くはない
213,けしからず,"異様だ,不都合だ"
214,けしき,様子
215,けしきばむ,気取る
216,けつ,けなす
217,けに,"よりいっそう,際立っているさま"
218,げに,"なるほど,本当に"
219,けむ,～ただろう
220,けやけし,"目立っている,こしゃくだ"
221,こうず,"疲れる,困る(サ変)"
222,ここのへ,宮中
223,ここら・そこら,たくさん
224,こころあり,"思いやりがある,風流心がある,ものの道理がわかる"
225,こころうし,つらい
226,こころぐるし,"気の毒だ,気がかりだ"
227,こころざし,"愛情,贈り物"
228,こころづきなし,気に食わない
229,こころづくし,あれこれともの思うこと
230,こころなし,"思いやりがない,風流心がない,ものの道理を解さない"
231,こころにくし,奥ゆかしい
232,こころばへ,"気立て,心遣い,趣"
233,こころまうけ,心の準備
234,こころもとなし,"不安だ,はっきりしない,待ち遠しい"
235,こころゆく,満足する
236,こしらふ,"言葉巧みに誘う,なだめる"
237,こそ～已然形,〜けれども、…
238,こぞ,去年
239,こちたし,"おおげさだ,わずらわしい"
240,こちなし,無骨だ
241,ことうけ,口先だけの承諾
242,ことごとし,おおげさだ
243,ことさむ,興ざめる
244,ことなしび・ことなしぶ,素知らぬ顔をする
245,ことのは,和歌
246,ことわり(なり),"ものの道理,当然である,わけ"
247,こぼつ,壊す
248,こまやか(なり),"詳しい,上品だ,愛情が深い"
249,こよなし,"この上ない, 格別だ"
250,さうざうし,心寂しい
251,さうなし,"簡単だ,またとない"
252,ざえ,漢学
253,さが,ならわし
254,さかし・さかしらなり,"かしこい,こざかしい"
255,さがなし,"たちが悪い,いたずらだ"
256,さきざき,以前
257,さくもん,漢詩を作ること
258,さすがに,そうはいってもやはり
259,さだめて,きっと
260,さて,そのままで
261,さながら,"全部,もとのまま"
262,さはり,差し支え
263,さはる,"邪魔になる,差し支える"
264,さはれ,どうにでもなれ
265,さぶらふ/はべり,"ございます,お仕えする"
266,さやか(なり),"明るい,はっきりしている"
267,さゆ,冷え込む
268,さら(なり),言うまでもない
269,さらず,避けられない
270,さらぬ,"それ以外の,なんでもない"
271,さらぬわかれ,死別
272,さらば,それならば
273,さりがたし,捨てておけない
274,さる,"相当な,立派な"
275,さるは,そうだけれども
276,さるべき,"しかるべき,そうなるのが当然である,立派な"
277,さわがし,忙しい
278,しか,そう
279,しかじ,～にまさるものはあるまい
280,しかり,そうである
281,したたむ,"食べる,準備をする,きちんと整える"
282,したりがほ,得意顔
283,しづ,卑しいこと
284,しどけなし,"くつろいでいる,だらしがない"
285,しな,身分
286,しのぶ,"人目を避ける,恋い慕う"
287,しふ,"無理やりだ,強いる"
288,しほたる,"泣く,しずくが垂れる"
289,しらなみ,盗賊
290,しる,治める
291,しるし,"効き目,はっきりしている,霊験"
292,しろしめす,"お治めになる,知っていらっしゃる"
293,すき,風流
294,すきずきし,物好きだ
295,すくせ,"前世からの因縁,前世"
296,すくよか(なり),"しっかりしている,ぶっきらぼうだ"
297,すごし,"気味悪い,素晴らしい"
298,すさび,"気まぐれ,もてあそび"
299,すさぶ,"なぐさむ,盛んに〜する"
300,すさまじ,興ざめだ
301,すずろ(なり),"やたらに,なんとなく,思いがけない"
302,すだく,集まる
303,ずちなし,どうしようもない
304,すなはち,すぐに
305,ずは,もし～ないならば
306,すべなし,どうしようもない
307,すまふ,"争う,辞退する"
308,すゑ,"和歌の下の句,将来"
309,ずんず,読む
310,せうそこ・せうそく,"手紙,訪れる"
311,せきあふ,こらえる
312,せち(なり),"ひたすらだ,大切だ"
313,せむかたなし,どうしようもない
314,せめて,"無理に,強いて"
315,そこはかとなし,特に理由はない
316,そこばく,たくさん
317,そしる,非難する
318,そぞろ(なり),"むやみに,なんの関係もないさま,なんという理由もない"
319,そのかみ,あの頃
320,そらごと,うそ
321,たいだいし,もってのほかだ
322,たけし,"勢いが盛んだ,勇ましい"
323,ただ,"ひたすら,すぐ"
324,ただならず,妊娠する
325,たづき,手段
326,だに,"せめて～だけでも,さえ"
327,たのむ,あてにする
328,たばかる,"だます,計画をする"
329,たふ,能力がある
330,たぶ,お与えになる
331,たへたる,達人の
332,たまさか(なり),たまたまだ
333,たまのを,"命,少し"
334,たまはる,いただく
335,たまふ,"尊敬(お与えになる,くださる,～なさる,お～になる)謙譲(〜ます,〜させていただく)"
336,たまゆら,わずかの間
337,ためし,前例
338,ためらふ,落ち着く
339,たゆむ,油断する
340,たより,"ついで,便利,ゆかり,よるべ"
341,ちぎり,"約束,前世からの因縁"
342,ついで,"機会,順番"
343,ついゐる,かしこまって座る
344,つかはす,おやりになる
345,つか(う)まつる,"お仕え申し上げる,〜してさしあげる"
346,つきかげ,月の光
347,つきづきし,似合っている
348,つきなし,似合わない
349,つきなみの,毎月の
350,つたなし,"まずい,不運だ"
351,つつましげ(なり),遠慮深い
352,つつむ,"隠す,遠慮する"
353,つと,"土産,さっと,じっと"
354,つとめて,"早朝,翌朝"
355,つぼ,庭
356,つま,端
357,つやつや・さらに・すべて・つゆ・おほかた・あへて・たえて(＋打消),まったく～ない
358,つらし,"薄情だ,耐え難い"
359,つれづれ(なり),手持ち無沙汰だ
360,つれなし,"よそよそしい,素知らぬ顔だ"
361,てうず(ちょうず),"退治する,料理する,作る"
362,てしが・にしが,したいものだ
363,てづから,自分の手で
364,てふ,という
365,とが,"欠点,犯罪"
366,ときめく,寵愛される
367,とく,早く
368,ところえがほ,得意顔
369,ところせし,"おおげさだ,窮屈だ,いばる"
370,とし,早い
371,としごろ,長年
372,どち,仲間
373,とぶらふ,"見舞う,訪れる"
374,とみ(なり),急だ
375,とむ,求める
376,な(～そ),するな
377,なかなか(なり),かえって
378,ながむ,"もの思う,歌を詠む"
379,ながめ,もの思い
380,なごり,"別れ,余韻"
381,なさけ,"思いやり,風情"
382,なつかし,心ひかれる
383,なづさふ,慣れ親しむ
384,なづむ,悩み苦しむ
385,なでふ,"どうして,いや〜ない"
386,などー(か・て・や),どうして
387,なにおふ,有名である
388,なのめ(なり),"平凡だ,格別だ"
389,なべて,"普通,すべて"
390,なほ,やはり
391,なほざり(なり),いいかげんだ
392,なまめかし,優美だ
393,なまめく,"優美である,みずみずしくて美しい"
394,なむ,してほしい
395,なめし,失礼だ
396,なめり,であるらしい
397,なやまし,気分が悪い
398,なやむ,"病気になる,苦しむ"
399,なゆ,なえる
400,ならふ,慣れる
401,にくさげ(なり),醜いさま
402,にくし,"嫌だ,見苦しい"
403,にげなし,ふさわしくない
404,になし,またとない
405,にほふ,つややかに美しい
406,ねたし,憎らしい
407,ねぶ,大人びる
408,ねをなく,声をあげて泣く
409,ねんごろ(なり),丁寧なさま
410,ねんず,我慢する(サ変）
411,のたまはす,おっしゃる
412,のたまふ,おっしゃる
413,ののしる,"大声たてる,評判が立つ"
414,のぼる,上京する
415,はかなくなる,死ぬ
416,はかなし,"ちょっとしたことである,頼りない,むなしい"
417,はかばかし,しっかりしてる
418,はしたなし,"中途半端だ,みっともない"
419,はた,～もまた
420,はつ,"終わる,死ぬ"
421,はつか(なり),ちょっと
422,はづかし,立派だ
423,はな(花),"桜,梅"
424,はばかる,遠慮する
425,ばや,したい
426,はやく(う)～けり,なんとまあ
427,はらから,兄弟姉妹
428,ひがごと,間違い
429,ひがひがし,"ひねくれている,見苦しい"
430,ひたぶる(なり),ただ一筋だ
431,ひつ,濡れる
432,ひとかたならず,並々ではない
433,ひとりごつ,独り言を言う
434,ひとわろし,みっともない
435,ひなぶ,田舎めく
436,ひねもす,一日中
437,ひる,乾く
438,びんなし,不都合だ
439,ふうが,俳諧
440,ふすま,ふとん
441,ふびん(なり),気の毒だ
442,ふみ(文),"手紙,書物,漢学"
443,ふりはへ(て),わざわざ
444,ふる,年を取る
445,ふるさと,"なじみの土地,旧都"
446,ほい,"出家,本来の目的"
447,ほいなし,"もの足りない,不本意だ"
448,ほだし,足手まとい
449,ほっしん,出家する
450,まうく,"準備する,儲ける"
451,まうけ,"準備,ごちそう"
452,まうづ,参る
453,まうでく,参ります
454,まかづ,退出する
455,まがふ,"入り乱れる,見分けがつかない"
456,まがまがし,不吉だ
457,まかる,"退出する,参ります"
458,まこと,"真実,誠実"
459,まさなし,よくない
460,まだき,早く
461,またし,完全だ
462,まだし,しっかりしていない
463,またなし,またとない
464,まどふ,"迷う,ひどく,あわてる"
465,まどゐ,集まり
466,まねぶ,"まねる,伝える"
467,まほ(なり),完璧だ
468,まめ(なり),"まじめだ,実用的だ"
469,まもる・まぼる,見つめる
470,まゐらす,申し上げる
471,まゐる,"差し上げる,参上する"
472,みそか(なり),こっそり
473,みちみちし,学問的だ
474,みまかる,死ぬ
475,みやび,都会風
476,みゆ,結婚する
477,みゆき,お出掛け
478,みる,"世話する,結婚する"
479,むくつけし,不気味だ
480,むげ(なり),この上なくひどいさま
481,むず,だろう
482,むすぶ,手ですくう
483,むずらむ,だろう
484,むつかし,"いやだ,うっとうしい"
485,むつかる,不機嫌だ
486,むつぶ,親しくする
487,むつまじ,親しい
488,むなしくなる,死ぬ
489,むべ,なるほど
490,めざまし,"すばらしい,気にくわない"
491,めす,"(呼ぶ,取り寄す,食う,着る,乗る)の尊敬語"
492,めづ,"愛する,感心だ"
493,めづらし,"素晴らしい,新鮮だ"
494,めでたし,すばらしい
495,めやすし,無難だ
496,めり,ようだ
497,もがな・もがも,があればなあ
498,もしるく,た通り
499,もぞ・もこそ,"すると困る,すると大変だ"
500,もてなす,"処理する,ふるまう,もてはやす"
501,もどかし,気に食わない
502,もどく,"まねる,非難する"
503,ものがたりす,話す
504,ものかは,"問題ではない,〜であろうか、いやそうではない"
505,ものから,ものの
506,ものし,気に食わない
507,ものす,"(いる,来る,食べる,行く,手紙を書く)の代動詞"
508,やうやう,次第に
509,やがて,"そのまま,すぐに"
510,やくと,"ひたすら,もっぱら"
511,やさし,"優美だ,感心だ"
512,やすし,心穏やかだ
513,やすらふ,ためらう
514,やつす,"出家する,みすぼらしく姿を変える"
515,やつる,みすぼらしくなる
516,やはら・やをら,"そっと,静かに"
517,やまだち,山賊
518,やむごとなし,"格別だ,身分が高い"
519,やらむ・やらん,だろうか
520,やる,心が晴れる
521,やるかたなし,心が晴れない
522,ゆかし,～たい
523,ゆくりなし,突然だ
524,ゆふされば・ゆふさる,夕方になる
525,ゆめ(＋禁止・打消),決して～な
526,ゆゆし,"はなはだしい,不吉だ,すばらしい"
527,ゆる,認められる
528,ゆゑ,"理由,風情,由緒"
529,ようせずは,悪くすると
530,よし[名],"そぶり,風情,理由"
531,よし(～とも),"仮に～とも,どうなろうとも"
532,よしあり,風情がある
533,よしなし,"つまらない,理由がない,手段がない"
534,よしなしごと,つまらない
535,よすが,"親類,ゆかり"
536,よそふ,"比べる,かこつける"
537,よのなか,男女の仲
538,よばふ,言い寄る
539,よも(～じ・まじ),まさか～まい
540,よもすがら,夜通し
541,よをすつ・よをのがる,出家する
542,らうあり,慣れている
543,らうがはし,"騒がしい,不作法だ"
544,らうたし,かわいい
545,らうらうじ,優雅だ
546,らむ,今ごろ～しているだろう
547,れいの,いつもの
548,わく,"理解する,区別する"
549,わくらばに,たまたまだ
550,わざと,"わざわざ,本格的に"
551,わたり,"あたり,人"
552,わたる,"行く,来る,し続ける"
553,わづらふ,"～しかねる,病気になる"
554,わびし,"つらい,貧しい,もの悲しい"
555,わぶ,"つらい,思い悩む"
556,わりなし,"むちゃくちゃだ,つらい,仕方がない"
557,ゐざる,にじり寄る
558,ゐる,"座っている,連れて行く"
559,〜を～み,が～ので
560,をかし,趣がある
561,をこ(なり),馬鹿げているさま
562,をさをさ(～打消),めったに～ない
563,をさをさし,しっかりしている
564,をし,"かわいい,名残惜しい"
565,をりふし,"場合,ちょうど"